username;view_count;like_count;comment_count;save_count;engagement_rate_influencer
fueyruss;59584300.0;8127894.0;14876.0;482749.0;14.025806105610561
fujiiian;58868200.0;4630100.0;18624.0;135585.0;8.279958459530025
fukada0318;3803000.0;378100.0;4983.0;9337.0;63.21840952380953
future_millionaires;29103500.0;4917131.0;14773.0;638513.0;23.278393
gabrielabee;8448200.0;921700.0;3492.0;54632.0;22.43261254901961
gaby.rosse;2445300.0;205114.0;793.0;7095.0;84.45569970149253
gakbakaljoget;30798100.0;2179762.0;17358.0;85212.0;18.980562987012988
garett__nolan;27778200.0;5040700.0;19437.0;412102.0;30.524940681818183
garnacho7;45000000.0;4755700.0;40856.0;170700.0;20.86331630769231
gehu.gl;14434300.0;788700.0;12035.0;40642.0;1783.9132621764202
gemelasortega;303200.0;59145.0;167.0;1272.0;12.469759333333334
gensho_yasuda;57830000.0;8049100.0;55307.0;525510.0;188.84899590163934
gheayoubi08;135202765.0;7500526.0;52427.0;105007.0;26.14001047368421
giannis_an34;11677200.0;1071400.0;5612.0;45401.0;12.205133125
gimmeuraddy;72773800.0;4905843.0;17704.0;281275.0;42.951068846153845
gingerbilly1;8369200.0;930154.0;9207.0;63235.0;28.211897714285715
giovannibonaccinii_;3064500.0;488800.0;1357.0;24444.0;19.64359693548387
gkocoach;129559900.0;6530415.0;27013.0;1175129.0;41.79156488888889
good.boy.ollie;111152100.0;20071500.0;106946.0;1041899.0;95.78997105263159
gordeewa__13;3713900.0;272200.0;2166.0;15375.0;33.4577147
gordonramsayofficial;202900000.0;17359600.0;169040.0;1306349.0;67.93493635416667
graciajessicajane;5003400.0;520100.0;1311.0;12301.0;8.71539038961039
graciajkt48;14806700.0;921500.0;4265.0;73490.0;10.07398164556962
grandma_droniak;130000000.0;19674700.0;232898.0;806700.0;175.86279971428573
grannybibbins;19591700.0;1164265.0;5546.0;57990.0;54.6990075
gregoriopernia;128200000.0;7902100.0;53677.0;137797.0;67.56523339622642
guavajuice;104406661.0;7701021.0;112947.0;392559.0;45.89198414965986
gucci_pineapple;546500.0;97114.0;595.0;3164.0;16.977650597014925
guiedits._;170700.0;14447.0;126.0;927.0;15.22709875
gzfoodqood;8416700.0;351100.0;2686.0;53962.0;36.53333615384615
h2woofficial;3755900.0;323800.0;1630.0;10197.0;2.9929841304347824
hadeel.alali;68400000.0;4019300.0;36627.0;109942.0;270.3606265845708
haga_mars;43200000.0;3706300.0;82300.0;246600.0;62.8044898989899
haileesteinfeld;15500000.0;2022300.0;18906.0;121707.0;27.05305176744186
haileybieber;29709900.0;2304900.0;14555.0;140452.0;34.434543846153844
healthy_mandy;23600000.0;958800.0;5864.0;30479.0;57.25757145833333
hendy_salimy;55589.0;2962.0;17.0;222.0;23.585458141067896
herranwalt;4788800.0;508800.0;15361.0;31395.0;45.0222225
hesfinatia;8062400.0;791900.0;3766.0;28534.0;28.318021276595744
hf37777;23000000.0;187100.0;8119.0;146700.0;47.66064253333333
hiib531;44359500.0;3177653.0;27534.0;504476.0;37.55241111111111
hisoyvaleria;2531200.0;430200.0;2756.0;18086.0;8.736006
hoaa.hanassii;207307800.0;16114900.0;84952.0;852773.0;52.41082594936709
homm9k;249805200.0;23134119.0;155419.0;558202.0;79.87662076923077
hotspanishmx;107400000.0;5790200.0;89890.0;334751.0;52.50342236111111
hunterprosper;115474500.0;24205747.0;106629.0;1255160.0;39.60316230337079
hyoga.x;33319900.0;3873200.0;16367.0;279283.0;42.77416502463054
hyunggiii;8052300.0;1556349.0;9569.0;171769.0;20.04664940567259
i_am_doshik1;245300000.0;16996500.0;159816.0;418888.0;165.2516104347826
i_am_young22;29909500.0;3624900.0;20740.0;439191.0;29.979620666666666
iben_ma;12673500.0;671700.0;6560.0;20931.0;34.365575192307695
ibnuwardani;3067400.0;262200.0;2988.0;10330.0;52.99311357142857
