username; nickname; deskripsi; view_count; like_count; comment_count; save_count; link; tanggal_posting; scraped_time
renpc_;✨Ren PC✨;"mi pelo el 80% de mi autoestima; sígueme en ig:renpc_ #comedia  #mujeres  #parati  #renpc_  #cabello  #maquillaje  #tutorial  #foryoupage  #viral  #fyp  #xyzbca ";38200000.0;4200000.0;23700.0;237100.0;https://www.tiktok.com/@renpc_/video/7055487243372203270?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2022-01-21;2023-10-27 15:40:54
renpc_;✨Ren PC✨;"mi kakhijo; sígueme en insta para mas contenido:@renpc_ #comedia  #parati  #risas  #comedy  #renpc_  #foryou  #viral  #xyzbca  #embarazofeliz  #risa  #lendejas ";57000000.0;5300000.0;40600.0;274600.0;https://www.tiktok.com/@renpc_/video/7052132692950895878?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2022-01-12;2023-10-27 15:41:00
renpc_;✨Ren PC✨;Si somos! Etiquetala insta renpc_ #comedia  #humor  #mejoresamigas  #foryou  #viral  #renpc_  #fyp  #foryoupage  #parati  ;29300.0;7173;50;376;https://www.tiktok.com/@renpc_/video/7294474347115252998?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2023-10-27;2023-10-27 15:41:06
jolly_good_ginger;jolly_good_ginger;"Yes; its me. ";456900.0;32100.0;889;928;https://www.tiktok.com/@jolly_good_ginger/video/7256616634645777707?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2023-07-17;2023-10-27 15:41:16
jolly_good_ginger;jolly_good_ginger;Raise the change you want to see in the world. Period. ;4500000.0;303200.0;3770;6712;https://www.tiktok.com/@jolly_good_ginger/video/7156329298469653802?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2022-10-20;2023-10-27 15:41:22
jolly_good_ginger;jolly_good_ginger;#stitch  with @jordan.parry  Stop speaking for me. #togetherwerise ;10400000.0;946100.0;16600.0;35900.0;https://www.tiktok.com/@jolly_good_ginger/video/6970794302318431493?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2021-06-07;2023-10-27 15:41:27
jolly_good_ginger;jolly_good_ginger;Replying to @Tami Ray  Uppy Datey ;131500.0;11500.0;169;266;https://www.tiktok.com/@jolly_good_ginger/video/7294456900727409962?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2023-10-27;2023-10-27 15:41:33
andreecuadros;Andrea Cuadros;¿Quién se une conmigo?🥹 mañana encenderé otra velita | #fyp  #foru  #xyzcbs #Camila120 #xyzbca #parati   @Camila Oficial  ;169100.0;18600.0;89;1281;https://www.tiktok.com/@andreecuadros/video/7290754915608136966?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2023-10-17;2023-10-27 15:41:43
andreecuadros;Andrea Cuadros;Es lo mas hermoso 🥰🥹 #fyp  #foru  #parati  #xyzcba  #xyzbca  #tia  @kenyagrace  ;113200.0;18200.0;160;476;https://www.tiktok.com/@andreecuadros/video/7293333830331550982?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2023-10-24;2023-10-27 15:41:49
andreecuadros;Andrea Cuadros;Y si 🥴😁 #fyp  #foru  #xyzcba  ;49000.0;12300.0;94;462;https://www.tiktok.com/@andreecuadros/video/7294485529758911749?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2023-10-27;2023-10-27 15:41:54
andreecuadros;Andrea Cuadros;"#pov : tu ex te habia prometido no estar con nadie más si se separaban; pero a las 2 semanas de terminar; te dijeron que lo vieron con otra… pero el se arrepiente después de ver que contigo quería estar. ";286900.0;56900.0;368;4288;https://www.tiktok.com/@andreecuadros/video/7293739360900353285?is_from_webapp=1&sender_device=pc&web_id=7294555040445007367;2023-10-25;2023-10-27 15:42:00
haga_mars;Haga Mars;Penyebab musim hujan;16300000.0;1300000.0;20000.0;32700.000000000004;https://www.tiktok.com/@haga_mars/video/7039753590553971994?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2021-12-10;2023-10-27 15:48:15
haga_mars;Haga Mars;Membalas @user7736904169923  🤍;6300000.0;465100.0;15800.0;25100.0;https://www.tiktok.com/@haga_mars/video/7264972187000376582?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-08-08;2023-10-27 15:48:19
haga_mars;Haga Mars;Semangat ka Inara from amerika 🤍;13600000.0;1300000.0;20900.0;145700.0;https://www.tiktok.com/@haga_mars/video/7235637566790290693?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-05-21;2023-10-27 15:48:24
haga_mars;Haga Mars;Membalas @gf jaemin  ke korea;7000000.0;641200.0;25600.0;43100.0;https://www.tiktok.com/@haga_mars/video/7293898573933071622?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-26;2023-10-27 15:48:28
ddhivaaaa;Adhiva Amalia;"Mungkin masih banyak yang bingung yaa; ini diaaa..";934500.0;47400.0;351;1825;https://www.tiktok.com/@ddhivaaaa/video/7271482618213092613?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-08-26;2023-10-27 15:48:37
ddhivaaaa;Adhiva Amalia;Hahaha gabolehh gaboleh!! Ini prinsipp😭;18700000.0;1200000.0;4141;63500.0;https://www.tiktok.com/@ddhivaaaa/video/7171454707028921627?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2022-11-29;2023-10-27 15:48:42
ddhivaaaa;Adhiva Amalia;Hehe😍 mampir ke live aku ya;14200000.0;1000000.0;2237;66200.0;https://www.tiktok.com/@ddhivaaaa/video/7143895816476822811?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2022-09-16;2023-10-27 15:48:46
ddhivaaaa;Adhiva Amalia;Trial teruss ya guyss👍🏻😂;100600.0;3663;60;44;https://www.tiktok.com/@ddhivaaaa/video/7294242105109630214?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-27;2023-10-27 15:48:51
noeldeyzel_bodybuilder;Noel Deyzel🇿🇦;@ryse_supps  Kool aid is live 👀 Code:NOEL to save 🤝❤️;5800000.0;530400.0;3538;27700.0;https://www.tiktok.com/@noeldeyzel_bodybuilder/video/7103908596240354566?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2022-05-31;2023-10-27 15:49:01
noeldeyzel_bodybuilder;Noel Deyzel🇿🇦;Easy high protein breakfast that doesnt taste like cement 🤝  . Using @ryse_supps  cinnamon toast protein thats been my favorite for the last 2.5 years 🙏🏼💙 code:NOEL to save 15% off  . #mealprep  #workout  #fitness  #muscle  #gym  ;213000.0;27200.0;175;5410;https://www.tiktok.com/@noeldeyzel_bodybuilder/video/7294265352526023942?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-27;2023-10-27 15:49:07
noeldeyzel_bodybuilder;Noel Deyzel🇿🇦;Do you do this?🫣 #shoulders  #workout  #fitness  #bodybuilding  #muscle  ;275900.0;31000.0;157;1370;https://www.tiktok.com/@noeldeyzel_bodybuilder/video/7292061226492841221?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-21;2023-10-27 15:49:12
noeldeyzel_bodybuilder;Noel Deyzel🇿🇦;Do you do this?🫣 #shoulders  #workout  #fitness  #bodybuilding  #muscle  ;947400.0;31000.0;157;1370;https://www.tiktok.com/@noeldeyzel_bodybuilder/video/7292061226492841221?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-21;2023-10-27 15:49:20
claragnds;Maria Clara Garcia;Vlog de um dia incrível de shooting com a @clc_colcci  ! Gostaram minhas vidas? 💖 #clccolcci  #outono24  #desafioclc           *publi;80800.0;17100.0;250;434;https://www.tiktok.com/@claragnds/video/7294375690055470342?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-27;2023-10-27 15:49:30
claragnds;Maria Clara Garcia;Gravei esse penteadoooo JAJA EU POSTO HEIN #chango  ;240300.0;47500.0;588;1992;https://www.tiktok.com/@claragnds/video/7294294447712406789?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-27;2023-10-27 15:49:36
claragnds;Maria Clara Garcia;Dc: @Devante Latorre  🫶🏼 oi #chango  ;138700.0;26800.0;483;937;https://www.tiktok.com/@claragnds/video/7294025833222524166?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-26;2023-10-27 15:49:41
claragnds;Maria Clara Garcia;Dc @deyvinhotralha  ✨ #chango  ;387700.0;69500.0;587;3012;https://www.tiktok.com/@claragnds/video/7293554558230482181?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-25;2023-10-27 15:49:47
thekatehudson;Kate Hudson;Shaken or stirred 🍸 @kingstvodka  ;6400000.0;810500.0;5448;25000.0;https://www.tiktok.com/@thekatehudson/video/7137387863435513134?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2022-08-30;2023-10-27 15:49:57
thekatehudson;Kate Hudson;Hi Andy 👋;3200000.0;213400.0;2067;1474;https://www.tiktok.com/@thekatehudson/video/7077593821587983662?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2022-03-21;2023-10-27 15:50:02
thekatehudson;Kate Hudson;🏝 #miami ;4099999.9999999995;293900.0;3095;2946;https://www.tiktok.com/@thekatehudson/video/7068690170207292714?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2022-02-25;2023-10-27 15:50:08
thekatehudson;Kate Hudson;Is tiktok trying to tell me something 😳 #stillnotanannouncement  🤦‍♀️;443200.0;12500.0;229;297;https://www.tiktok.com/@thekatehudson/video/7293421735742016814?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-24;2023-10-27 15:50:13
_raichouuofficial;SHRX • Raichouu;Double dash king? #fyp  #mlbb  #chou  #raichouuzxc  ;16200000.0;1800000.0;11000.0;110800.0;https://www.tiktok.com/@_raichouuofficial/video/7213695276354145542?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-03-23;2023-10-27 15:50:23
_raichouuofficial;SHRX • Raichouu;Freestyle brunomars pt8 #fyp  #mlbb  #chou  #raichouuzxc ;13200000.0;1300000.0;11900.0;41900.0;https://www.tiktok.com/@_raichouuofficial/video/7101561243109985562?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2022-05-25;2023-10-27 15:50:29
_raichouuofficial;SHRX • Raichouu;Pinakitaan ko ng 1hit si insection🤣 #fyp  #mlbb  #chou  #raichouuzxc  ;13800000.0;1300000.0;5983;77400.0;https://www.tiktok.com/@_raichouuofficial/video/7162081645770722586?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2022-11-04;2023-10-27 15:50:35
_raichouuofficial;SHRX • Raichouu;Double dash king is back?! #raichouuzxc  #mlbb  #chou  #fyp  ;119200.0;6839;108;329;https://www.tiktok.com/@_raichouuofficial/video/7293103677886319878?is_from_webapp=1&sender_device=pc&web_id=7294557268761822738;2023-10-24;2023-10-27 15:50:40
amizahnadin;nadin⋆.ೃ࿔*:･;membawakan lagu 'Berpayung Tuhan' dari album terbaruku. semoga bisa segera bernyanyi bersamamu🎀✨;246300.0;22000.0;190;1029;https://www.tiktok.com/@amizahnadin/video/7290388520336755973?is_from_webapp=1&sender_device=pc&web_id=7294558312358479367;2023-10-16;2023-10-27 15:52:19
amizahnadin;nadin⋆.ೃ࿔*:･;"ini dia teman-teman kita yang terpilih untuk hadir ke acara 'Aku Yang Kecil' di mana kita akan mengajak diri kecil kita untuk bersenang-senang.  bagi kamu yang terpilih; silahkan cek dm akun instagrammu secara berkala ya!  tunggu pesan dari Sorai untukmu🤍";328400.0;22300.0;187;608;https://www.tiktok.com/@amizahnadin/video/7280694437305617669?is_from_webapp=1&sender_device=pc&web_id=7294558312358479367;2023-09-20;2023-10-27 15:52:23
amizahnadin;nadin⋆.ೃ࿔*:･;"'Aku Yang Kecil'; acara kecil untuk merayakan lagu 'Tawa'.  24 September 2023 di Morgy Coffee; Bandung. Membuat tanah liat dan menyaksikan puppet show.  Mau ikut? 1. Buat video yang menceritakan tentang tempat paling penuh memori dari masa kecil kalian; jangan lupa ceritakan di caption juga. 2. Sisipkan username instagrammu pada caption agar mempermudah aku menghubungimu jika menang. 3. Tuliskan #AkuYangKecil  @__soraiofficial pada captionmu. 4. Yang terpenting; pastikan bisa hadir jika terpilih. 5. Submission akan dibuka sampai tanggal 17 September";1200000.0;172800.0;840;8411;https://www.tiktok.com/@amizahnadin/video/7277549230820969733?is_from_webapp=1&sender_device=pc&web_id=7294558312358479367;2023-09-11;2023-10-27 15:52:28
amizahnadin;nadin⋆.ೃ࿔*:･;"terima kasih kepada pasangan-pasangan yang telah datang di Kencan Merayakanmu.  juga terima kasih kepada semua yang telah mendengarkan Semua Aku Diarayakan; semoga lagu ini lekat di hatimu.";1600000.0;319600.0;2118;14500.0;https://www.tiktok.com/@amizahnadin/video/7271944680089095429?is_from_webapp=1&sender_device=pc&web_id=7294558312358479367;2023-08-27;2023-10-27 15:52:32
nadina_ioana;Nadina Ioana;Everyday makeup glam using the new @SHEGLAM  Live To Roam Collection 🤍 | #SHEGLAM  #SHEGLAMcollection  #sheglamlivetoroam  #makeuptingles  #makeupsounds  #relaxingasmrsounds  #asmrbeautyedition  #asmrmaquillaje  #asmrmakeupapplication  #asmrmakeuptutorial  #waterlinemakeup  ;579200.0;65099.99999999999;144;3727;https://www.tiktok.com/@nadina_ioana/video/7293229722647973153?is_from_webapp=1&sender_device=pc&web_id=7294558312358479367;2023-10-24;2023-10-27 15:52:42
nadina_ioana;Nadina Ioana;"ASMR edición MIX and Match de sérums para el cuidado de la piel 🤍 Como embajadora utilizo el Sérum negro de Garnier combinado con el Sérum invisible SPF 50 durante el día; y por la noche el Sérum anti-manchas con 10% de Vitamina C pura @Garnier España  | #GoGreenConGarnier  #serumnegro  #MeQuedaClaroQueFunciona  #asmrserum  #asmrrutinafacial  #asmrbelleza  #rutinaantimaanchas  #asmrskincareroutine  #asmrskincareeddition  ";756700.0;72600.0;181;4110;https://www.tiktok.com/@nadina_ioana/video/7288446805333888288?is_from_webapp=1&sender_device=pc&web_id=7294558312358479367;2023-10-11;2023-10-27 15:52:48
nadina_ioana;Nadina Ioana;POV: Wednesday does your skincare 💀 | #wednesdayroleplay #wednesdaynetflix  #wednesdayaddams #wednesdayaddamscosplay #skincareroleplay #asmrwednesday #halloweenroleplay #halloweenskincare #roleplayskincare  ;278900.0;39000.0;260;2678;https://www.tiktok.com/@nadina_ioana/video/7294362387627527456?is_from_webapp=1&sender_device=pc&web_id=7294558312358479367;2023-10-27;2023-10-27 15:52:54
