username;nickname;deskripsi;view_count;like_count;comment_count;save_count;link;tanggal_posting;scraped_time;engagement_rate_content
oliviergiroud;Olivier Giroud;𝘎𝘙𝘈𝘡𝘐𝘌 𝘈 𝘛𝘜𝘛𝘛𝘐 | 𝗜 𝗝𝗨𝗦𝗧 𝗪𝗔𝗡𝗡𝗔 𝗧𝗛𝗔𝗡𝗞 𝗬𝗢𝗨 𝗔𝗟𝗟 | 𝘔𝘌𝘙𝘊𝘐 𝘈̀ 𝘛𝘖𝘜𝘚  🇫🇷🫶🏼🔴⚫️;510200.0;66700.0;482.0;1775.0;https://www.tiktok.com/@oliviergiroud/video/7241287709560556826?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-06-06;2023-10-27 10:19:02;0.13515680125441004
oliviergiroud;Olivier Giroud;Leave nothing to chance and always have faith. That to me is bravery  #DieselFragances  #OnlyTheBrave ;5100000.0;25100.0;324.0;430.0;https://www.tiktok.com/@oliviergiroud/video/7239377129064975642?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-05-31;2023-10-27 10:19:05;0.005069411764705882
oliviergiroud;Olivier Giroud;Un buon inizio 💪🏼❤️🖤 La vittorià sopratutto ☝🏼 Bravi ragaaaaa @AC Milan  ;220400.0;13400.0;252.0;356.0;https://www.tiktok.com/@oliviergiroud/video/7184822053051190534?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-01-04;2023-10-27 10:19:08;0.06355716878402903
oliviergiroud;Olivier Giroud;2022 has been an amazing year 🙏🏼  May God's unfailing love and peace bless you every day of this new year!  🥰❤️🙏🏼;152100.0;14100.0;185.0;543.0;https://www.tiktok.com/@oliviergiroud/video/7183602937996807430?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-01-01;2023-10-27 10:19:11;0.09748849441157134
vincentgiganteee;Vincent Gigante;HAHAHAHAHAH 😂😂 @samkelly322  ;51900000.0;7100000.0;27300.0;400400.0;https://www.tiktok.com/@vincentgiganteee/video/7170446966231420206?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2022-11-27;2023-10-27 10:19:20;0.14504238921001927
vincentgiganteee;Vincent Gigante;@samkelly322  maybe confused?;12500000.0;1500000.0;6170.0;50400.0;https://www.tiktok.com/@vincentgiganteee/video/7092546928487206190?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2022-05-01;2023-10-27 10:19:24;0.1245256
vincentgiganteee;Vincent Gigante;The best socks and underwears I have ever worn @SKIMS  #skimsmens  #skimspartner ;509900.0;42600.0;291.0;903.0;https://www.tiktok.com/@vincentgiganteee/video/7293185573093657887?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;;2023-10-27 10:19:28;0.08588742890762895
vincentgiganteee;Vincent Gigante;@Samantha Kelly  ;9500000.0;860200.0;4781.0;41200.0;https://www.tiktok.com/@vincentgiganteee/video/7289971057820192030?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-10-15;2023-10-27 10:19:31;0.09538747368421052
thebenjishow;benji;💀 #fyp  #foryou  #foryoupage  ;2800000.0;451500.0;1150.0;27200.0;https://www.tiktok.com/@thebenjishow/video/7288812877190810913?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-10-12;2023-10-27 10:19:39;0.171375
thebenjishow;benji;damn #fyp  #foryou  #foryoupage  ;7300000.0;926800.0;3580.0;67800.0;https://www.tiktok.com/@thebenjishow/video/7267664272505818401?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-08-16;2023-10-27 10:19:42;0.13673698630136985
thebenjishow;benji;😭😭😭 #fyp  #foryou  #foryoupage  ;5600000.0;597100.0;2808.0;52400.0;https://www.tiktok.com/@thebenjishow/video/7266494640176565537?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-08-13;2023-10-27 10:19:45;0.11648357142857142
thebenjishow;benji;lmao #fyp  #foryoupage  #foryou  ;15800000.0;2700000.0;7677.0;207200.0;https://www.tiktok.com/@thebenjishow/video/7265063794731158816?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-08-09;2023-10-27 10:19:48;0.18448588607594937
joaodoce;Joao Doce;Xiao Xiao 🎀 #xiaoxiao  ;75800000.0;5400000.0;46700.0;330000.0;https://www.tiktok.com/@joaodoce/video/7289880524368268550?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-10-15;2023-10-27 10:19:55;0.07620976253298153
joaodoce;Joao Doce;Esse boneco é pra quem quiser ❤️ #xamuel  ;4800000.0;239600.0;3720.0;14200.0;https://www.tiktok.com/@joaodoce/video/7288813611147939078?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-10-12;2023-10-27 10:19:58;0.05365
joaodoce;Joao Doce;Eterno Dumbledore 🤍 #harrypotter  #dumbledore  #harrypottertiktok  ;1100000.0;35500.0;248.0;1979.0;https://www.tiktok.com/@joaodoce/video/7284006105074797830?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-09-29;2023-10-27 10:20:02;0.034297272727272725
joaodoce;Joao Doce;Marvel Studios’ Loki: The Complete First Season arrives on Collector’s Edition 4K UHD & Blu-ray with Exclusive Steelbook packaging on September 26! #ad  #loki  #marvelstudios  #alligator  ;825300.0;62800.0;149.0;506.0;https://www.tiktok.com/@joaodoce/video/7283186887626378501?is_from_webapp=1&sender_device=pc&web_id=7294471167493424641;2023-09-27;2023-10-27 10:20:05;0.07688719253604749
dapaneyoffcl;Dap Cosmetics;"Walang ma hila e; solo muna.❤️ #dapaney  ";8199999.999999999;1200000.0;1372.0;22400.0;https://www.tiktok.com/@dapaneyoffcl/video/7134225361801448731?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;2022-08-21;2023-10-27 10:22:36;0.14924048780487806
